Probenname	Abschnitt
35.8	Duodenum Mucosa
35.9	Jejunum Digesta
35.11	Jejunum Mucosa
35.12	Ileum Digesta
35.14	Ileum Mucosa
35.15	Colon Digesta
35.17	Colon Mucosa
35.18	Caecum Digesta
35.20	Caecum Mucosa
36.1	Stomach Digesta
36.3	Stomach Mucosa 1
36.4	Stomach Mucosa 2
36.5	Stomach Mucosa 3
36.6	Duodenum Digesta
36.8	Duodenum Mucosa
36.9	Jejunum Digesta
36.11	Jejunum Mucosa
36.12	Ileum Digesta
36.14	Ileum Mucosa
36.15	Colon Digesta
36.17	Colon Mucosa
36.18	Caecum Digesta
36.20	Caecum Mucosa
37.1	Stomach Digesta
37.3	Stomach Mucosa 1
37.4	Stomach Mucosa 2
37.5	Stomach Mucosa 3
37.6	Duodenum Digesta
37.8	Duodenum Mucosa
37.9	Jejunum Digesta
37.11	Jejunum Mucosa
37.12	Ileum Digesta
37.14	Ileum Mucosa
37.15	Colon Digesta
37.17	Colon Mucosa
37.18	Caecum Digesta
37.20	Caecum Mucosa
38.1	Stomach Digesta
38.3	Stomach Mucosa 1
38.4	Stomach Mucosa 2
38.5	Stomach Mucosa 3
38.6	Duodenum Digesta
38.8	Duodenum Mucosa
38.9	Jejunum Digesta
38.11	Jejunum Mucosa
38.12	Ileum Digesta
38.14	Ileum Mucosa
38.15	Colon Digesta
38.17	Colon Mucosa
38.18	Caecum Digesta
38.20	Caecum Mucosa
39.1	Stomach Digesta
39.3	Stomach Mucosa 1
39.4	Stomach Mucosa 2
39.5	Stomach Mucosa 3
39.6	Duodenum Digesta
39.8	Duodenum Mucosa
39.9	Jejunum Digesta
39.11	Jejunum Mucosa
39.12	Ileum Digesta
39.14	Ileum Mucosa
39.15	Colon Digesta
39.17	Colon Mucosa
39.18	Caecum Digesta
39.20	Caecum Mucosa
40.1	Stomach Digesta
40.3	Stomach Mucosa 1
40.4	Stomach Mucosa 2
40.5	Stomach Mucosa 3
40.6	Duodenum Digesta
40.8	Duodenum Mucosa
40.9	Jejunum Digesta
40.11	Jejunum Mucosa
40.12	Ileum Digesta
40.14	Ileum Mucosa
40.15	Colon Digesta
40.17	Colon Mucosa
40.18	Caecum Digesta
40.20	Caecum Mucosa
41.1	Stomach Digesta
41.3	Stomach Mucosa 1
41.4	Stomach Mucosa 2
41.5	Stomach Mucosa 3
41.6	Duodenum Digesta
41.8	Duodenum Mucosa
41.9	Jejunum Digesta
41.11	Jejunum Mucosa
41.12	Ileum Digesta
41.14	Ileum Mucosa
41.15	Colon Digesta
41.17	Colon Mucosa
41.18	Caecum Digesta
41.20	Caecum Mucosa
42.1	Stomach Digesta
42.3	Stomach Mucosa 1
42.4	Stomach Mucosa 2
42.5	Stomach Mucosa 3
42.6	Duodenum Digesta
42.8	Duodenum Mucosa
42.9	Jejunum Digesta
42.11	Jejunum Mucosa
42.12	Ileum Digesta
42.14	Ileum Mucosa
42.15	Colon Digesta
42.17	Colon Mucosa
42.18	Caecum Digesta
42.20	Caecum Mucosa
43.1	Stomach Digesta
43.3	Stomach Mucosa 1
43.4	Stomach Mucosa 2
43.5	Stomach Mucosa 3
43.6	Duodenum Digesta
43.8	Duodenum Mucosa
43.9	Jejunum Digesta
43.11	Jejunum Mucosa
43.12	Ileum Digesta
43.14	Ileum Mucosa
43.15	Colon Digesta
43.17	Colon Mucosa
43.18	Caecum Digesta
43.20	Caecum Mucosa
44.1	Stomach Digesta
44.3	Stomach Mucosa 1
44.4	Stomach Mucosa 2
44.5	Stomach Mucosa 3
44.6	Duodenum Digesta
44.8	Duodenum Mucosa
44.9	Jejunum Digesta
44.11	Jejunum Mucosa
44.12	Ileum Digesta
44.14	Ileum Mucosa
44.15	Colon Digesta
44.17	Colon Mucosa
44.18	Caecum Digesta
44.20	Caecum Mucosa
45.1	Stomach Digesta
45.3	Stomach Mucosa 1
45.4	Stomach Mucosa 2
45.5	Stomach Mucosa 3
45.6	Duodenum Digesta
45.8	Duodenum Mucosa
45.9	Jejunum Digesta
45.11	Jejunum Mucosa
45.12	Ileum Digesta
45.14	Ileum Mucosa
45.15	Colon Digesta
45.17	Colon Mucosa
45.18	Caecum Digesta
45.20	Caecum Mucosa
46.1	Stomach Digesta
46.3	Stomach Mucosa 1
46.4	Stomach Mucosa 2
46.5	Stomach Mucosa 3
46.6	Duodenum Digesta
46.8	Duodenum Mucosa
46.9	Jejunum Digesta
46.11	Jejunum Mucosa
46.12	Ileum Digesta
46.14	Ileum Mucosa
46.15	Colon Digesta
46.17	Colon Mucosa
46.18	Caecum Digesta
46.20	Caecum Mucosa
47.1	Stomach Digesta
47.3	Stomach Mucosa 1
47.4	Stomach Mucosa 2
47.5	Stomach Mucosa 3
47.6	Duodenum Digesta
47.8	Duodenum Mucosa
47.9	Jejunum Digesta
47.11	Jejunum Mucosa
47.12	Ileum Digesta
47.14	Ileum Mucosa
47.15	Colon Digesta
47.17	Colon Mucosa
47.18	Caecum Digesta
47.20	Caecum Mucosa
48.1	Stomach Digesta
48.3	Stomach Mucosa 1
48.4	Stomach Mucosa 2
48.5	Stomach Mucosa 3
48.6	Duodenum Digesta
48.8	Duodenum Mucosa
48.9	Jejunum Digesta
48.11	Jejunum Mucosa
48.12	Ileum Digesta
48.14	Ileum Mucosa
48.15	Colon Digesta
48.17	Colon Mucosa
48.18	Caecum Digesta
48.20	Caecum Mucosa
49.1	Stomach Digesta
49.3	Stomach Mucosa 1
49.4	Stomach Mucosa 2
49.5	Stomach Mucosa 3
49.6	Duodenum Digesta
49.8	Duodenum Mucosa
49.9	Jejunum Digesta
49.11	Jejunum Mucosa
49.12	Ileum Digesta
49.14	Ileum Mucosa
49.15	Colon Digesta
49.17	Colon Mucosa
49.18	Caecum Digesta
49.20	Caecum Mucosa
50.1	Stomach Digesta
50.3	Stomach Mucosa 1
50.4	Stomach Mucosa 2
50.5	Stomach Mucosa 3
50.6	Duodenum Digesta
50.8	Duodenum Mucosa
50.9	Jejunum Digesta
50.11	Jejunum Mucosa
50.12	Ileum Digesta
50.14	Ileum Mucosa
50.15	Colon Digesta
50.17	Colon Mucosa
50.18	Caecum Digesta
50.20	Caecum Mucosa
51.1	Stomach Digesta
51.3	Stomach Mucosa 1
51.4	Stomach Mucosa 2
51.5	Stomach Mucosa 3
51.6	Duodenum Digesta
51.8	Duodenum Mucosa
51.9	Jejunum Digesta
51.11	Jejunum Mucosa
51.12	Ileum Digesta
51.14	Ileum Mucosa
51.15	Colon Digesta
51.17	Colon Mucosa
51.18	Caecum Digesta
51.20	Caecum Mucosa
52.1	Stomach Digesta
52.3	Stomach Mucosa 1
52.4	Stomach Mucosa 2
52.5	Stomach Mucosa 3
52.6	Duodenum Digesta
52.8	Duodenum Mucosa
52.9	Jejunum Digesta
52.11	Jejunum Mucosa
52.12	Ileum Digesta
52.14	Ileum Mucosa
52.15	Colon Digesta
52.17	Colon Mucosa
52.18	Caecum Digesta
52.20	Caecum Mucosa
53.1	Stomach Digesta
53.3	Stomach Mucosa 1
53.4	Stomach Mucosa 2
53.5	Stomach Mucosa 3
53.6	Duodenum Digesta
53.8	Duodenum Mucosa
53.9	Jejunum Digesta
53.11	Jejunum Mucosa
53.12	Ileum Digesta
53.14	Ileum Mucosa
53.15	Colon Digesta
53.17	Colon Mucosa
53.18	Caecum Digesta
53.20	Caecum Mucosa
54.1	Stomach Digesta
54.3	Stomach Mucosa 1
54.4	Stomach Mucosa 2
54.5	Stomach Mucosa 3
54.6	Duodenum Digesta
54.8	Duodenum Mucosa
54.9	Jejunum Digesta
54.11	Jejunum Mucosa
54.12	Ileum Digesta
54.14	Ileum Mucosa
54.15	Colon Digesta
54.17	Colon Mucosa
54.18	Caecum Digesta
54.20	Caecum Mucosa
55.1	Stomach Digesta
55.3	Stomach Mucosa 1
55.4	Stomach Mucosa 2
55.5	Stomach Mucosa 3
55.6	Duodenum Digesta
55.8	Duodenum Mucosa
55.9	Jejunum Digesta
55.11	Jejunum Mucosa
55.12	Ileum Digesta
55.14	Ileum Mucosa
55.15	Colon Digesta
55.17	Colon Mucosa
55.18	Caecum Digesta
55.20	Caecum Mucosa
56.1	Stomach Digesta
56.3	Stomach Mucosa 1
56.4	Stomach Mucosa 2
56.5	Stomach Mucosa 3
56.6	Duodenum Digesta
56.8	Duodenum Mucosa
56.9	Jejunum Digesta
56.11	Jejunum Mucosa
56.12	Ileum Digesta
56.14	Ileum Mucosa
56.15	Colon Digesta
56.17	Colon Mucosa
56.18	Caecum Digesta
56.20	Caecum Mucosa
